"QID","eidrparty"
"Q5189359","10.5237/5E16-34A2"
"Q5414361","10.5237/8E3A-3F4A"
"Q5448989","10.5237/3BD6-26B3"
"Q5583638","10.5237/628B-2BD0"
"Q5680824","10.5237/270D-077B"
"Q5903471","10.5237/11AB-C5EB"
"Q6516806","10.5237/FBCC-5A67"
"Q6745872","10.5237/3A1E-38E9"
"Q7196772","10.5237/A9A3-4374"
"Q7263919","10.5237/8E4D-E670"
"Q7273145","10.5237/8CA0-651F"
"Q7421058","10.5237/F9EE-FD6F"
"Q7452222","10.5237/AFD4-65ED"
"Q7512312","10.5237/1F35-1642"
"Q7698270","10.5237/6DCE-3E50"
"Q7801550","10.5237/39D0-7364"
"Q7962257","10.5237/380D-6FFC"
"Q7969872","10.5237/D57F-89FC"
"Q7969876","10.5237/D41D-8CD9"
"Q8036489","10.5237/0904-212B"
"Q8069122","10.5237/E525-4240"
"Q8069350","10.5237/23B7-7D7F"
"Q16242963","10.5237/5569-C99A"
"Q16632366","10.5237/244C-33CC"
"Q16839205","10.5237/02A0-3B06"
"Q16955312","10.5237/409C-BFBA"
"Q17037404","10.5237/8B8A-45AB"
"Q18207711","10.5237/84B7-5C24"
"Q18219579","10.5237/CB29-E60F"
"Q18219588","10.5237/1AB8-115E"
"Q21036756","10.5237/2475-FCBA"
"Q21810681","10.5237/020D-A55B"
"Q22021534","10.5237/8380-7746"
"Q22085360","10.5237/D32D-1962"
"Q28024354","10.5237/D790-F556"
"Q30255906","10.5237/305C-BD5E"
"Q30291863","10.5237/20DD-FA0A"
"Q31180999","10.5237/B0A3-8029"
"Q41511576","10.5237/104C-D4E6"
"Q54805286","10.5237/B040-787E"
"Q63537654","10.5237/288B-9CFA"
"Q48340","10.5237/20AE-227F"
"Q86750090","10.5237/F786-9ECE"
"Q91336376","10.5237/BD88-5270"
"Q92999549","10.5237/2A49-D25C"
"Q96376054","10.5237/7130-A3DA"
"Q106027564","10.5237/D40A-EA51"
"Q107027345","10.5237/C053-2320"
"Q108560833","10.5237/88DA-3A2A"
"Q113071294","10.5237/E276-7F9C"
"Q116188737","10.5237/A520-85FA"
"Q118849627","10.5237/CC97-EC38"
"Q119941307","10.5237/A63A-0B08"
"Q122955535","10.5237/3754-81F5"
"Q123137578","10.5237/5450-1085"
"Q166419","10.5237/6BC9-C7E5"
"Q369786","10.5237/B3FC-39C7"
"Q465832","10.5237/C1E1-C447"
"Q477943","10.5237/8914-D7DE"
"Q500088","10.5237/2BB8-DD6A"
"Q618091","10.5237/8F01-81B7"
"Q622848","10.5237/FBF8-C3CD"
"Q624886","10.5237/671D-4889"
"Q649649","10.5237/6769-FC86"
"Q651228","10.5237/31D9-85ED"
"Q798768","10.5237/22B6-B92B"
"Q812893","10.5237/F121-EB08"
"Q844652","10.5237/16A3-C04D"
"Q885885","10.5237/9107-73A8"
"Q908662","10.5237/C9C1-CFB3"
"Q917869","10.5237/0612-9889"
"Q1128577","10.5237/B5C6-3538"
"Q1136177","10.5237/3ECA-0BDD"
"Q1166160","10.5237/0051-DBC8"
"Q1348264","10.5237/1527-F1EE"
"Q1475707","10.5237/9D02-8C07"
"Q1584317","10.5237/C0E0-A2F9"
"Q1706678","10.5237/6466-304E"
"Q2579492","10.5237/167B-F4A2"
"Q2861046","10.5237/2EAF-75DC"
"Q2865801","10.5237/2F80-8338"
"Q2902139","10.5237/5519-7D38"
"Q2906631","10.5237/5B10-7AD3"
"Q2927617","10.5237/C474-E012"
"Q2931045","10.5237/E35F-1AC6"
"Q3005562","10.5237/03F4-F3C8"
"Q3046330","10.5237/D1CC-E082"
"Q3098606","10.5237/91F2-0A79"
"Q3109988","10.5237/DE46-E074"
"Q3620821","10.5237/C700-85E7"
"Q3704004","10.5237/AEF0-DBB8"
"Q3712525","10.5237/751F-FF05"
"Q3772936","10.5237/18CF-CB10"
"Q4306553","10.5237/95F1-867E"
"Q4411312","10.5237/A4AC-668E"
"Q4411312","10.5237/F987-72ED"
"Q4780593","10.5237/3F34-E36F"
"Q4816418","10.5237/8C35-0091"
"Q4822585","10.5237/84D2-28BE"
"Q4826385","10.5237/3309-BB50"
"Q4856237","10.5237/85A6-0E8C"
"Q4879144","10.5237/5BEB-CF27"
"Q4928562","10.5237/1625-C97E"
"Q4958364","10.5237/6630-4533"
"Q4968078","10.5237/BA78-9FC6"
"Q4980924","10.5237/89BB-1E4F"
"Q5009262","10.5237/6D09-D06D"
"Q5025938","10.5237/A446-7699"
"Q5035471","10.5237/1D5A-4172"
"Q5122739","10.5237/3BA3-2B7A"
"Q5189389","10.5237/84ED-9AFC"
"Q5223268","10.5237/CDF6-FB61"
"Q5249982","10.5237/FF26-F539"
"Q5357370","10.5237/FE86-88CF"
"Q5462409","10.5237/438D-967B"
"Q5593631","10.5237/46E3-BC0D"
"Q5598045","10.5237/C562-2F91"
"Q5604071","10.5237/FA93-CF03"
"Q5685696","10.5237/255B-AE4B"
"Q5876554","10.5237/1933-B4D3"
"Q8214167","10.5237/5C9B-8CC4"
"Q11950961","10.5237/A8AF-2823"
"Q16155590","10.5237/674D-FF9B"
"Q16240771","10.5237/96B2-E185"
"Q16249615","10.5237/6004-FA70"
"Q16251300","10.5237/A845-C361"
"Q16634789","10.5237/B4C0-3557"
"Q16962429","10.5237/9ED4-537D"
"Q16984664","10.5237/B8E6-A4BB"
"Q16991978","10.5237/61FF-8FF4"
"Q17275678","10.5237/BD2D-35C3"
"Q17335620","10.5237/30ED-A3AB"
"Q17335666","10.5237/A2FC-01D5"
"Q18149793","10.5237/766D-FDAD"
"Q18694578","10.5237/36E8-9F6B"
"Q21280723","10.5237/6A26-BE40"
"Q22673821","10.5237/9C1A-50BA"
"Q27561052","10.5237/4455-5B60"
"Q63612600","10.5237/2847-123A"
"Q65081856","10.5237/5BAA-812B"
"Q66424714","10.5237/3CD9-0FFC"
"Q28252","10.5237/BB4A-4717"
"Q78187135","10.5237/D728-73D3"
"Q78787466","10.5237/197F-D64C"
"Q106412820","10.5237/097C-1B93"
"Q106493813","10.5237/41E7-EEAE"
"Q106936157","10.5237/22B0-873B"
"Q107658270","10.5237/5E75-C22D"
"Q108148358","10.5237/FCE5-8AD2"
"Q119360981","10.5237/A119-581A"
"Q119519808","10.5237/6C46-81EB"
"Q120304816","10.5237/3F80-B6FB"
"Q121079388","10.5237/D07C-EBD6"
"Q122955573","10.5237/6178-4511"
"Q122998768","10.5237/AE72-003E"
"Q79202","10.5237/E00B-F757"
"Q157118","10.5237/4BE5-DF8E"
"Q167186","10.5237/C9EC-FD3B"
"Q188740","10.5237/57B7-B773"
"Q511731","10.5237/6C8A-4F1C"
"Q557387","10.5237/0B3D-B26F"
"Q615141","10.5237/61C5-086B"
"Q621364","10.5237/5538-B194"
"Q650331","10.5237/BC49-8B75"
"Q682748","10.5237/49B9-FF90"
"Q775450","10.5237/4809-075B"
"Q891732","10.5237/D047-AB62"
"Q905791","10.5237/2557-BCF8"
"Q912601","10.5237/6B93-D557"
"Q1111024","10.5237/242A-F780"
"Q1148711","10.5237/A8B3-C5A2"
"Q1152955","10.5237/14C5-978D"
"Q1402636","10.5237/2ADF-97C4"
"Q1535748","10.5237/0F47-CDBA"
"Q1626895","10.5237/3F91-F57F"
"Q1722143","10.5237/3351-8DBB"
"Q1785329","10.5237/D109-653F"
"Q2407366","10.5237/B7C2-B047"
"Q2669403","10.5237/DD75-D80D"
"Q2702789","10.5237/5F89-E1CF"
"Q2877626","10.5237/4C5C-FE3A"
"Q3008749","10.5237/BA20-F4C3"
"Q3067564","10.5237/F7F6-B965"
"Q3151648","10.5237/6095-EF28"
"Q3194369","10.5237/0128-9BC6"
"Q3242008","10.5237/9634-CEE3"
"Q3285496","10.5237/6D1F-4B73"
"Q3358940","10.5237/CCF3-0328"
"Q3401312","10.5237/E386-845B"
"Q3808346","10.5237/BD0B-721B"
"Q3808345","10.5237/79AD-AE11"
"Q3843364","10.5237/708C-92E0"
"Q3880776","10.5237/68C2-2FDF"
"Q4043290","10.5237/2CCC-8EB1"
"Q6014742","10.5237/87F4-9F02"
"Q6047187","10.5237/9C80-0BC4"
"Q6073094","10.5237/BE3F-0A6A"
"Q6075035","10.5237/F506-8AB6"
"Q6107567","10.5237/4842-84B0"
"Q6155948","10.5237/A703-0F19"
"Q6373523","10.5237/439C-027F"
"Q6717433","10.5237/0DC5-0FC2"
"Q6820801","10.5237/D8FE-AC27"
"Q6948183","10.5237/AAB7-BEA7"
"Q6972872","10.5237/800D-43CF"
"Q7058641","10.5237/2E59-46F4"
"Q7060834","10.5237/5548-1BE1"
"Q7073917","10.5237/76D8-C1FB"
"Q7102562","10.5237/79CA-1EFB"
"Q7102772","10.5237/CFB4-ED76"
"Q7112041","10.5237/B721-39FE"
"Q7122712","10.5237/3C3B-C3FC"
"Q7155151","10.5237/5BE0-1FAA"
"Q7247721","10.5237/FADB-516A"
"Q7250053","10.5237/383E-01A2"
"Q7250799","10.5237/E992-3605"
"Q7276847","10.5237/FEB9-A3FB"
"Q7286715","10.5237/539D-7FC3"
"Q11882864","10.5237/5FD7-5FBB"
"Q11887890","10.5237/3864-9D24"
"Q16253226","10.5237/B14B-4084"
"Q16254330","10.5237/47AC-0CB9"
"Q16977035","10.5237/49EC-C556"
"Q16986509","10.5237/F217-D454"
"Q16997967","10.5237/043C-2CE8"
"Q16998082","10.5237/E6C5-65F1"
"Q17086011","10.5237/B734-293F"
"Q17092493","10.5237/FFE7-5699"
"Q17128241","10.5237/DC67-B85A"
"Q17305144","10.5237/48CB-AD48"
"Q17371406","10.5237/99C5-81DF"
"Q18153385","10.5237/7A40-6C79"
"Q18754940","10.5237/B392-3465"
"Q20827684","10.5237/9A0D-27C8"
"Q20873087","10.5237/B16E-1B01"
"Q21283207","10.5237/557B-D612"
"Q21292719","10.5237/E62B-ED8E"
"Q26966398","10.5237/4593-5A9B"
"Q48976518","10.5237/8DFD-530A"
"Q56247596","10.5237/7F85-8FA2"
"Q60238569","10.5237/CDE2-8B08"
"Q61225925","10.5237/1C61-5E53"
"Q64007570","10.5237/CF4B-ADC7"
"Q64960823","10.5237/4634-7B29"
"Q65084821","10.5237/B2E3-3C76"
"Q66730451","10.5237/9842-7277"
"Q7414","10.5237/1D33-11A5"
"Q23589","10.5237/9A79-BFEF"
"Q24679","10.5237/BF80-4787"
"Q109253079","10.5237/980C-9D46"
"Q111103108","10.5237/E1DD-9E84"
"Q113773691","10.5237/878C-7A01"
"Q121034314","10.5237/DE44-0B95"
"Q121057858","10.5237/5707-0438"
"Q121143683","10.5237/6AE2-4795"
"Q121223543","10.5237/1725-809F"
"Q122950077","10.5237/2F1D-35D6"
"Q122951666","10.5237/5BE7-697F"
"Q122998913","10.5237/0664-E301"
"Q126399","10.5237/A929-C667"
"Q371400","10.5237/FD73-E534"
"Q466459","10.5237/AB09-C69A"
"Q497155","10.5237/3477-963B"
"Q540122","10.5237/28F9-2CD7"
"Q544150","10.5237/B0D8-5AE4"
"Q632323","10.5237/8BFE-56AE"
"Q640786","10.5237/409D-8B22"
"Q652390","10.5237/DB4F-2450"
"Q951774","10.5237/B10E-021F"
"Q953040","10.5237/6499-56D0"
"Q1047410","10.5237/E872-28B7"
"Q1138789","10.5237/B7F9-BDF4"
"Q1149935","10.5237/104F-D9BD"
"Q1188938","10.5237/6495-D852"
"Q1283484","10.5237/2CB3-4ACF"
"Q1337530","10.5237/7731-4776"
"Q1370297","10.5237/72FC-9773"
"Q1459090","10.5237/2E1C-B4D5"
"Q1585284","10.5237/2C61-552D"
"Q1637250","10.5237/CE6F-1098"
"Q1638321","10.5237/1313-50DA"
"Q1755165","10.5237/E233-4623"
"Q1796719","10.5237/FBF8-6033"
"Q2079232","10.5237/6589-F48A"
"Q2698248","10.5237/43B5-1BE5"
"Q2714630","10.5237/AFF6-98C9"
"Q2719775","10.5237/C409-A8BB"
"Q2721586","10.5237/B037-7492"
"Q2893859","10.5237/9C2E-12BB"
"Q3067892","10.5237/05F7-82F3"
"Q3088127","10.5237/31DE-E215"
"Q3298993","10.5237/3755-8702"
"Q3420434","10.5237/AEE6-B8C0"
"Q3550689","10.5237/3872-B6AF"
"Q3551276","10.5237/46EA-A7B6"
"Q3964860","10.5237/EB29-B14C"
"Q4853294","10.5237/5B3F-4F38"
"Q5403512","10.5237/CBC2-C017"
"Q7295254","10.5237/6265-C429"
"Q7573630","10.5237/A408-6D8C"
"Q7575889","10.5237/7D65-0F3F"
"Q7621235","10.5237/E5E9-D59D"
"Q7733855","10.5237/6393-EA26"
"Q7733857","10.5237/54D3-65E8"
"Q7797072","10.5237/8716-C8DB"
"Q7801831","10.5237/2478-F384"
"Q7804805","10.5237/90EB-ECC8"
"Q7817481","10.5237/B30D-B1CD"
"Q7855903","10.5237/8EED-9CB4"
"Q7860124","10.5237/45E5-D34C"
"Q7916154","10.5237/E303-9787"
"Q7920227","10.5237/8D16-8157"
"Q7923503","10.5237/28C4-D879"
"Q7924442","10.5237/A59E-CC68"
"Q7943490","10.5237/0946-7064"
"Q7949667","10.5237/7327-FB4A"
"Q7996335","10.5237/9C62-8FD7"
"Q8021105","10.5237/AD8A-C616"
"Q8033895","10.5237/B1FF-1102"
"Q8036486","10.5237/2B3C-3D64"
"Q8036645","10.5237/7D72-A05D"
"Q8049324","10.5237/39E7-66D5"
"Q8068615","10.5237/0848-8BB1"
"Q8072859","10.5237/2AC6-5FA5"
"Q10719511","10.5237/F9AB-C635"
"Q14409149","10.5237/649A-54A1"
"Q16672698","10.5237/2B39-7E10"
"Q17037124","10.5237/3444-2AE6"
"Q17092884","10.5237/E7B7-3B24"
"Q17300077","10.5237/567D-70D3"
"Q17305142","10.5237/C35A-7A0B"
"Q17335612","10.5237/8C75-2CCA"
"Q17386965","10.5237/CF63-A6DB"
"Q21280724","10.5237/5791-9A3A"
"Q21281988","10.5237/5FF9-61C9"
"Q24818133","10.5237/3720-0E14"
"Q25169853","10.5237/259E-8A4C"
"Q34686947","10.5237/ED0A-2A2A"
"Q47153414","10.5237/8425-863D"
"Q50233538","10.5237/FDB1-802B"
"Q60886316","10.5237/2410-36D6"
"Q72398598","10.5237/E831-1A88"
"Q89574551","10.5237/B8E6-8E96"
"Q96277099","10.5237/D2C9-09A7"
"Q108535487","10.5237/16D0-4FAC"
"Q114187914","10.5237/552A-4D23"
"Q121034189","10.5237/DE0E-2D29"
"Q121034247","10.5237/87C4-74BF"
"Q121034244","10.5237/1760-D2F2"
"Q121034293","10.5237/0E28-6E1D"
"Q121034474","10.5237/4EBC-2963"
"Q121034537","10.5237/B65F-EAC0"
"Q121034589","10.5237/ED79-2814"
"Q121034584","10.5237/FF1F-CE25"
"Q121034725","10.5237/A785-7A42"
"Q121034735","10.5237/CE11-D93A"
"Q121035281","10.5237/B5DB-05C6"
"Q121035557","10.5237/842E-510C"
"Q121035590","10.5237/DE4B-F26D"
"Q121035600","10.5237/FEE3-EF85"
"Q121035652","10.5237/3043-55CD"
"Q121035989","10.5237/961A-F288"
"Q121036032","10.5237/A30A-86DE"
"Q121078854","10.5237/C067-EBF3"
"Q121079014","10.5237/65F6-AE5F"
"Q121079103","10.5237/EB9F-E77D"
"Q121079243","10.5237/B02D-C0C4"
"Q121079244","10.5237/2AEF-3181"
"Q121086065","10.5237/AB45-FF98"
"Q121086150","10.5237/432D-2DD5"
"Q121091264","10.5237/B491-7A26"
"Q121091356","10.5237/7056-6351"
"Q121091449","10.5237/F22B-0C2B"
"Q121126069","10.5237/14AF-EA4B"
"Q121126233","10.5237/06EF-25F7"
"Q121126329","10.5237/4556-1C0E"
"Q121126354","10.5237/1991-D05B"
"Q121126423","10.5237/2930-8ED6"
"Q121126947","10.5237/52C3-1281"
"Q121143851","10.5237/C651-FA0B"
"Q121159800","10.5237/DB5C-F04B"
"Q121159982","10.5237/7F8F-208B"
"Q121159976","10.5237/5ECC-1A2C"
"Q121222671","10.5237/685C-04A2"
"Q121222733","10.5237/0BA2-5FB8"
"Q121223181","10.5237/5333-CD07"
"Q121223257","10.5237/D764-AC8F"
"Q121223553","10.5237/6796-EB91"
"Q121270732","10.5237/7BBD-29F6"
"Q121271158","10.5237/EA8B-9E22"
"Q121298765","10.5237/63A3-3D75"
"Q121298782","10.5237/03C5-1CD7"
"Q121299068","10.5237/2054-8C06"
"Q121299105","10.5237/C6D7-934E"
"Q121299436","10.5237/E4B1-CA94"
"Q121299538","10.5237/863A-D97B"
"Q121315088","10.5237/8188-259B"
"Q121315469","10.5237/8B4D-7AD3"
"Q121315647","10.5237/A618-2CA1"
"Q121337052","10.5237/1989-248E"
"Q121337125","10.5237/B5CC-B97A"
"Q121337134","10.5237/3CC2-C923"
"Q121337303","10.5237/4C50-05B5"
"Q121337577","10.5237/4ABC-3F7E"
"Q121357744","10.5237/3604-1C2D"
"Q121357815","10.5237/D993-0BD2"
"Q121357880","10.5237/C87C-165C"
"Q122950141","10.5237/6A67-07BE"
"Q122950441","10.5237/71C8-9DE6"
"Q122950807","10.5237/35F1-8C9F"
"Q122950818","10.5237/D018-393A"
"Q122951612","10.5237/8813-7816"
"Q797084","10.5237/9E5B-5C4A"
"Q2649438","10.5237/8F15-65A0"
"Q2823598","10.5237/A5C5-8412"
"Q2833663","10.5237/A0CE-6800"
"Q4636285","10.5237/73F6-2ACB"
"Q4682066","10.5237/8419-B16E"
"Q4692877","10.5237/36DC-8AD5"
"Q4732568","10.5237/30E4-D070"
"Q4742003","10.5237/7198-85EB"
"Q4743771","10.5237/95C4-E2E1"
"Q4790142","10.5237/311F-7FD9"
"Q4816516","10.5237/990D-E443"
"Q4824329","10.5237/2730-3B64"
"Q4835390","10.5237/7CB3-B046"
"Q4864505","10.5237/4097-00FE"
"Q15541465","10.5237/5609-CFAC"
"Q15784205","10.5237/F3F9-C2B3"
"Q16529036","10.5237/E270-9C58"
"Q16820267","10.5237/9499-7A34"
"Q17346715","10.5237/9CFF-DDDA"
"Q17371422","10.5237/DA46-C00C"
"Q17377468","10.5237/02B3-E075"
"Q17386418","10.5237/7E28-4F42"
"Q25267461","10.5237/2435-E47D"
"Q25713854","10.5237/6458-0DBD"
"Q25857997","10.5237/58CC-14B0"
"Q51816615","10.5237/A0A7-15D4"
"Q105166378","10.5237/573B-5539"
"Q106960242","10.5237/D0C8-59D7"
"Q112633366","10.5237/73AB-CE8F"
"Q121034348","10.5237/9337-8B37"
"Q121034604","10.5237/84EA-A381"
"Q121034620","10.5237/0783-BB2A"
"Q121034623","10.5237/67AD-0CBE"
"Q121034782","10.5237/8F06-58E5"
"Q121034967","10.5237/6746-5DF3"
"Q121035050","10.5237/E61D-D6CD"
"Q121035213","10.5237/16D9-6BE5"
"Q121035338","10.5237/9AAD-1DFC"
"Q121035445","10.5237/EF68-7F49"
"Q121035993","10.5237/0D93-0B4E"
"Q121036042","10.5237/6B29-BDDD"
"Q121057957","10.5237/090B-74F9"
"Q121078919","10.5237/2C45-35ED"
"Q121078932","10.5237/D320-65AC"
"Q121079110","10.5237/2B2B-DA9C"
"Q121079153","10.5237/57CC-C0AC"
"Q121079338","10.5237/4497-BB5D"
"Q121079362","10.5237/CEAC-D8C8"
"Q121079437","10.5237/2BFD-1FCC"
"Q121079453","10.5237/92EB-678E"
"Q121086175","10.5237/C6D3-FC25"
"Q121091120","10.5237/219B-2978"
"Q121143637","10.5237/EC41-FF36"
"Q121143668","10.5237/5A35-7A1F"
"Q121143960","10.5237/B725-3017"
"Q121144148","10.5237/D72F-8467"
"Q121144144","10.5237/310F-DDFC"
"Q121160029","10.5237/DECC-7D6E"
"Q121222561","10.5237/8257-039B"
"Q121223277","10.5237/7E2F-7D2F"
"Q121223523","10.5237/7F4F-D414"
"Q121271428","10.5237/DA8A-99A1"
"Q121271430","10.5237/6B21-BA54"
"Q121271479","10.5237/CAE5-CB40"
"Q121271519","10.5237/E752-CB41"
"Q121299042","10.5237/E8B4-186C"
"Q121299162","10.5237/FE5E-FD66"
"Q121299298","10.5237/C298-7979"
"Q121299345","10.5237/05C9-1F7D"
"Q121299459","10.5237/6409-3938"
"Q121315085","10.5237/38F5-0CD1"
"Q121315120","10.5237/1DB4-D8B0"
"Q121315426","10.5237/4150-642C"
"Q121315527","10.5237/6D95-3387"
"Q121337093","10.5237/07BA-7416"
"Q121337258","10.5237/7299-5ADD"
"Q121337292","10.5237/3DC1-8BF4"
"Q121337537","10.5237/D51A-D32D"
"Q121337637","10.5237/A9A2-2E3F"
"Q121337653","10.5237/5DB2-EB06"
"Q121337719","10.5237/EA15-673E"
"Q122950130","10.5237/906D-C080"
"Q122950162","10.5237/B1E3-A105"
"Q122950821","10.5237/53AF-A535"
"Q122951624","10.5237/DC22-E33E"
"Q122951639","10.5237/DEE5-5946"
"Q626323","10.5237/F76F-B4BE"
"Q858937","10.5237/D4A9-44C7"
"Q915718","10.5237/7878-08B6"
"Q1044291","10.5237/647E-9E68"
"Q2270552","10.5237/5A44-1188"
"Q2900022","10.5237/F286-BBF4"
"Q2910219","10.5237/D4F0-6B4B"
"Q2926174","10.5237/D2E2-C969"
"Q2938735","10.5237/7F99-9948"
"Q2963175","10.5237/D217-95BC"
"Q2973049","10.5237/E833-4ACD"
"Q2973075","10.5237/C911-47B1"
"Q4906369","10.5237/E39A-85C0"
"Q4928436","10.5237/9FFB-4385"
"Q4930036","10.5237/3D7D-9E82"
"Q4959677","10.5237/0134-D301"
"Q5000499","10.5237/B4A4-7B8E"
"Q5025981","10.5237/9AA7-6965"
"Q5035871","10.5237/E8D4-1991"
"Q5050140","10.5237/0B53-2E51"
"Q5118178","10.5237/2672-30A1"
"Q5119335","10.5237/8719-FE00"
"Q5120764","10.5237/8459-2BB9"
"Q5120868","10.5237/D731-B5DE"
"Q11945143","10.5237/A528-4857"
"Q16985548","10.5237/D20B-27B8"
"Q16988055","10.5237/B8EA-82DA"
"Q17335735","10.5237/8161-4DB9"
"Q17335799","10.5237/B899-6404"
"Q17377891","10.5237/F213-133F"
"Q17386859","10.5237/7752-0B5A"
"Q18219569","10.5237/6A42-6A2C"
"Q21743237","10.5237/3855-F6BC"
"Q24577172","10.5237/9A36-FCA8"
"Q24817339","10.5237/DE76-7526"
"Q24849389","10.5237/6D1F-CB2E"
"Q25112064","10.5237/935B-D2DE"
"Q25266020","10.5237/94B9-70CA"
"Q28122092","10.5237/5472-1C7C"
"Q54231866","10.5237/EA83-D062"
"Q62513176","10.5237/DCF3-5AF6"
"Q65589027","10.5237/467D-2B7C"
"Q89098675","10.5237/CF28-F591"
"Q98071248","10.5237/E8F7-1B2F"
"Q104422305","10.5237/D8E9-F6C3"
"Q108403277","10.5237/0001-28D5"
"Q121034200","10.5237/BD7D-D369"
"Q121034201","10.5237/ABF4-3F09"
"Q121034339","10.5237/5A19-EC32"
"Q121034510","10.5237/985D-3F15"
"Q121034611","10.5237/7059-1BAB"
"Q121034619","10.5237/10C6-ABB6"
"Q121034619","10.5237/9C27-076A"
"Q121034690","10.5237/1717-7197"
"Q121034681","10.5237/1B34-C807"
"Q121034716","10.5237/8AC9-2F6B"
"Q121035068","10.5237/22A2-C8BF"
"Q121035081","10.5237/0A42-771D"
"Q121035333","10.5237/A2C2-2135"
"Q121035372","10.5237/2850-7E5D"
"Q121035376","10.5237/C287-591B"
"Q121035386","10.5237/D5FF-7DA8"
"Q121035486","10.5237/3260-6CD5"
