"item","c","wdlabelen"
"Q27811","aa","Afar"
"Q5111","ab","Abkhaz"
"Q197936","abe","Abenaki"
"Q27567","abq","Abaza"
"Q3124354","abs","Ambonese"
"Q27683","ace","Acehnese"
"Q56232","acm","Mesopotamian Arabic"
"Q56509","adx","Amdo Tibetan"
"Q27776","ady","Adyghe"
"Q64362980","ady-cyrl","Adyghe in Cyrillic script"
"Q56240","aeb","Tunisian Arabic"
"Q64362981","aeb-arab","Tunisian Arabic in Arabic script"
"Q64362982","aeb-latn","Tunisian Arabic in Latin script"
"Q14196","af","Afrikaans"
"Q34737","agq","Aghem"
"Q56593","ajp","Levantine Arabic"
"Q28026","ak","Akan"
"Q113819406","akk-latn","Akkadian in Latin Script"
"Q8773","akl","Aklanon"
"Q1815020","akz","Alabama"
"Q181037","aln","Gheg Albanian"
"Q131339","als","Alemannic"
"Q387066","als","Swiss German"
"Q1991779","alt","Southern Altai"
"Q28244","am","Amharic"
"Q35132","ami","Amis"
"Q8765","an","Aragonese"
"Q42365","ang","Old English"
"Q28378","anp","Angika"
"Q10729616","aoc","Pemon"
"Q56593","apc","Levantine Arabic"
"Q13955","ar","Arabic"
"Q28602","arc","Aramaic languages"
"Q33730","arn","Mapudungun"
"Q56499","arq","Algerian Arabic"
"Q108055510","art-blt","Belter Creole"
"Q686210","art-bsp","Black Speech"
"Q64483808","art-vlh","High Valyrian"
"Q56426","ary","Moroccan Darija"
"Q29919","arz","Egyptian Arabic"
"Q29401","as","Assamese"
"Q14759","ase","American Sign Language"
"Q29507","ast","Asturian"
"Q56590","atj","Atikamekw"
"Q29561","av","Avar"
"Q1377116","avk","Kotava"
"Q29579","awa","Awadhi"
"Q4627","ay","Aymara"
"Q9292","az","Azerbaijani"
"Q107549766","az-cyrl","Azerbaijani in Cyrillic script"
"Q3449805","azb","South Azerbaijani"
"Q13389","ba","Bashkir"
"Q33049","bal","Balochi"
"Q33070","ban","Balinese"
"Q107530457","ban-bali","Balinese in Balinese script"
"Q29540","bar","Bavarian"
"Q213434","bat-smg","Samogitian"
"Q33017","bbc","Toba Batak"
"Q64362983","bbc-latn","Batak Toba in Latin script"
"Q12634001","bcc","Southern Balochi"
"Q33284","bcl","Central Bikol"
"Q2880037","bdr","West Coast Bajau"
"Q9091","be","Belarusian"
"Q2087886","be-tarask","Taraškievica"
"Q33025","bej","Beja"
"Q33000","bfi","British Sign Language"
"Q33205","bfq","Badaga"
"Q7918","bg","Bulgarian"
"Q12645561","bgn","Western Balochi"
"Q33268","bh","Bhojpuri"
"Q33268","bho","Bhojpuri"
"Q35452","bi","Bislama"
"Q33151","bjn","Banjar"
"Q33060","bla","Blackfoot"
"Q7121294","blk","Pa'O"
"Q33243","bm","Bambara"
"Q9610","bn","Bangla"
"Q56505","bnn","Bunun"
"Q93937013","bnt-mpi","Mpiin"
"Q34271","bo","Tibetan"
"Q37059","bpy","Bishnupriya Manipuri"
"Q257829","bqi","Bakhtiari"
"Q12107","br","Breton"
"Q33202","brh","Brahui"
"Q33223","brx","Bodo"
"Q9303","bs","Bosnian"
"Q56648","bsa","Abinomn"
"Q216286","bsk","Burushaski"
"Q34806","bss","Kose"
"Q2891049","btm","Mandailing"
"Q12633026","bto","Rinconada Bikol"
"Q33190","bug","Bugis"
"Q16116629","bxr","Russia Buriat"
"Q33120","bxr","Buryat"
"Q716647","byq","Basay"
"Q716615","bzg","Babuza"
"Q3436689","bzs","Brazilian Sign Language"
"Q7026","ca","Catalan"
"Q32641","ca-valencia","Valencian"
"Q35115","cak","Kaqchikel"
"Q28427","cal","Carolinian"
"Q32174903","cbk-zam","Zamboanga Chavacano"
"Q33281","cbk-zam","Chavacano"
"Q32952","ccp","Chakma"
"Q107530840","ccp-beng","Chakma in Bengali script"
"Q36455","cdo","Eastern Min"
"Q33350","ce","Chechen"
"Q33239","ceb","Cebuano"
"Q33262","ch","Chamorro"
"Q35173","chn","Chinook Jargon"
"Q32979","cho","Choctaw"
"Q33388","chr","Cherokee"
"Q145625","chu","Glagolitic"
"Q33265","chy","Cheyenne"
"Q36811","ckb","Sorani"
"Q33170","ckt","Chukchi"
"Q716627","ckv","Kavalan"
"Q28535","clc","Chilcotin"
"Q3250286","cnh","Hakha–Chin"
"Q8821","cnr","Montenegrin"
"Q33111","co","Corsican"
"Q36155","cop","Coptic"
"Q2937525","cps","Capiznon"
"Q56583","cpx","Pu-Xian Min"
"Q33390","cr","Cree"
"Q33357","crh","Crimean Tatar"
"Q107557467","crh-cyrl","Crimean Tatar in Cyrillic script"
"Q107557485","crh-latn","Crimean Tatar in Latin script"
"Q12642195","crl","Northern East Cree"
"Q34015","crs","Seychellois Creole"
"Q9056","cs","Czech"
"Q33690","csb","Kashubian"
"Q33173","ctg","Chittagonian"
"Q25704993","cu","Church Slavonic alphabet"
"Q33251","cu","Church Slavonic"
"Q108519491","cu","Slavonic musical notation"
"Q33348","cv","Chuvash"
"Q9309","cy","Welsh"
"Q9035","da","Danish"
"Q32238","dag","Dagbani"
"Q32332","dar","Dargwa"
"Q188","de","German"
"Q306626","de-at","Austrian German"
"Q1366643","de-ch","Swiss High German"
"Q64427341","de-formal","formal address in German"
"Q56466","din","Dinka"
"Q10199","diq","Zazaki"
"Q35527","dlm","Dalmatian"
"Q49232","dru","Rukai"
"Q13286","dsb","Lower Sorbian"
"Q5317225","dtp","Kadazandusun"
"Q18415595","dty","Doteli"
"Q33013","dua","Duala"
"Q32656","dv","Maldivian"
"Q33081","dz","Dzongkha"
"Q30005","ee","Ewe"
"Q35377","efi","Ibibio"
"Q1057898","egl","Emilian"
"Q9129","el","Greek"
"Q36510","el","Modern Greek"
"Q242648","eml","Emilian-Romagnol"
"Q1860","en","English"
"Q44679","en-au","Australian English"
"Q44676","en-ca","Canadian English"
"Q7979","en-gb","British English"
"Q21480034","en-simple","Simple English"
"Q7976","en-us","American English"
"Q6144345","en-us-so","Southern American English"
"Q7707309","en-us-tx","Texan English"
"Q21480034","en-x-simple","Simple English"
"Q36395","enm","Middle English"
"Q143","eo","Esperanto"
"Q3505590","eo-hsistemo","System H"
"Q3497763","eo-xsistemo","System X"
"Q1321","es","Spanish"
"Q56649449","es-419","Latin American Spanish"
"Q64427343","es-formal","Spanish (formal address)"
"Q21117","esu","Central Alaskan Yup'ik"
"Q9072","et","Estonian"
"Q35726","ett","Etruscan"
"Q8752","eu","Basque"
"Q30007","ext","Extremaduran"
"Q27480","eya","Eyak"
"Q9168","fa","Persian"
"Q178440","fa-af","Dari"
"Q33454","ff","Fula"
"Q1412","fi","Finnish"
"Q13357","fit","Meänkieli"
"Q32762","fiu-vro","Võro"
"Q33295","fj","Fijian"
"Q165795","fkv","Kven"
"Q25258","fo","Faroese"
"Q33291","fon","Fon"
"Q716604","fos","Siraya"
"Q150","fr","French"
"Q1450506","fr-ca","Canadian French"
"Q3083213","frc","Louisiana French"
"Q1473289","frm","Middle French"
"Q35222","fro","Old French"
"Q15087","frp","Franco-Provençal"
"Q28224","frr","North Frisian"
"Q3915357","fuf","Pular"
"Q33441","fur","Friulian"
"Q27175","fy","West Frisian"
"Q9142","ga","Irish"
"Q33287","gaa","Ga"
"Q33457","gag","Gagauz"
"Q33475","gan","Gan Chinese"
"Q64427344","gan-hans","simplified Gan"
"Q64427346","gan-hant","traditional Gan"
"Q3006280","gcf","Guadeloupean Creole"
"Q35022","gcf","Antillean Creole"
"Q1363072","gcr","Guianan Creole"
"Q9314","gd","Scottish Gaelic"
"Q35667","gez","Ge'ez"
"Q30898","gil","Gilbertese"
"Q9307","gl","Galician"
"Q33657","glk","Gilaki"
"Q837985","gmh","Middle High German"
"Q505674","gml","Middle Low German"
"Q35876","gn","Guarani"
"Q35218","goh","Old High German"
"Q5575236","gom","Goan Konkani"
"Q64362984","gom-deva","Goan Konkani in Devanagari script"
"Q64362985","gom-latn","Goan Konkani in Latin script"
"Q2501174","gor","Gorontalo"
"Q35722","got","Gothic"
"Q5555465","gpe","Ghanaian Pidgin English"
"Q35497","grc","Ancient Greek"
"Q33282","gsg","German Sign Language"
"Q131339","gsw","Alemannic"
"Q8786","gsw-fr","Alsatian"
"Q5137","gu","Gujarati"
"Q891085","guc","Wayuu"
"Q3111668","guw","Gun"
"Q12175","gv","Manx"
"Q56475","ha","Hausa"
"Q33303","hai","Haida"
"Q33375","hak","Hakka Chinese"
"Q33569","haw","Hawaiian"
"Q1982248","hbo","Biblical Hebrew"
"Q9288","he","Hebrew"
"Q1568","hi","Hindi"
"Q46728","hif","Fiji Hindi"
"Q64362986","hif-latn","Fiji Hindi in Latin script"
"Q35978","hil","Hiligaynon"
"Q117674271","hit-latn","Hittite in Latin Script"
"Q382273","hno","Hindko"
"Q33617","ho","Hiri Motu"
"Q33270","hoc","Ho"
"Q6654","hr","Croatian"
"Q304049","hrx","Hunsrik"
"Q13248","hsb","Upper Sorbian"
"Q33491","ht","Haitian Creole"
"Q9067","hu","Hungarian"
"Q64427347","hu-formal","formal Hungarian"
"Q8785","hy","Armenian"
"Q180945","hyw","Western Armenian"
"Q33315","hz","Herero"
"Q35934","ia","Interlingua"
"Q9240","id","Indonesian"
"Q35850","ie","Interlingue"
"Q33578","ig","Igbo"
"Q34235","ii","Nuosu"
"Q27183","ik","Inupiaq"
"Q64427348","ike-cans","Eastern Canadian Inuktut in Aboriginal syllabics"
"Q64362987","ike-latn","Eastern Canadian Inuktut in Latin script"
"Q35936","ilo","Ilocano"
"Q48767781","inc-ohi","Old Hindi"
"Q115270971","inc-opa","Old Punjabi"
"Q37178","ine-pro","Proto-Indo-European"
"Q33509","inh","Ingush"
"Q35224","io","Ido"
"Q294","is","Icelandic"
"Q652","it","Italian"
"Q29921","iu","Inuktitut"
"Q5287","ja","Japanese"
"Q53979504","ja-hani","Japanese written in kanji"
"Q53979341","ja-hira","Japanese written in hiragana"
"Q53979345","ja-hrkt","Japanese written in kana"
"Q53979342","ja-kana","Japanese written in katakana"
"Q35939","jam","Jamaican Patois"
"Q3915769","jax","Jambi Malay"
"Q36350","jbo","Lojban"
"Q1340322","jut","Jutlandic"
"Q33549","jv","Javanese"
"Q33219","jv-x-bms","Banyumasan Ngapak"
"Q8108","ka","Georgian"
"Q33541","kaa","Karakalpak"
"Q35853","kab","Kabyle"
"Q2779411","kae","Ketagalan"
"Q33522","kbd","Kabardian"
"Q64362989","kbd-cyrl","Kabardian in Cyrillic script"
"Q12952626","kbg","Khamba"
"Q35475","kbp","Kabiye"
"Q3912765","kcg","Tyap"
"Q35963","kea","Cape Verdean Creole"
"Q33702","kg","Kongo"
"Q2665734","kgp","Kaingang"
"Q33584","kha","Khasi"
"Q56601","khg","Khams Tibetan"
"Q938216","khw","Khowar"
"Q33587","ki","Gikuyu"
"Q6023868","kiu","Kirmanjki"
"Q1405077","kj","Kwanyama"
"Q33335","kjg","Khmu"
"Q33575","kjh","Khakas"
"Q5330390","kjp","Eastern Pwo"
"Q9252","kk","Kazakh"
"Q64362991","kk-arab","Kazakh in Arabic script"
"Q64427349","kk-cn","Kazakh in China"
"Q64362992","kk-cyrl","Kazakh in Cyrillic script"
"Q64427350","kk-kz","Kazakh in Kazakhstan"
"Q64362993","kk-latn","Kazakh in Latin script"
"Q64427352","kk-tr","Kazakh in Turkey"
"Q25355","kl","Greenlandic"
"Q9205","km","Khmer"
"Q33673","kn","Kannada"
"Q9176","ko","Korean"
"Q18784","ko-kp","North Korean standard language"
"Q18795","ko-kr","South Korean standard language"
"Q56318","koi","Permyak"
"Q28304","koy","Koyukon"
"Q36094","kr","Kanuri"
"Q33714","krc","Karachay-Balkar"
"Q35744","kri","Krio"
"Q33720","krj","Karay-a"
"Q33557","krl","Karelian"
"Q35704","krx","Karon"
"Q33552","ks","Kashmiri"
"Q64362994","ks-arab","Kashmiri in Arabic script"
"Q64362995","ks-deva","Kashmiri in Devanagari script"
"Q4624","ksh","Kölsch"
"Q32145","ksh","Ripuarian"
"Q56410","ksw","S'gaw Karen"
"Q36163","ku","Kurmanji"
"Q36368","ku","Kurdish"
"Q64362996","ku-arab","Kurdish in Arabic script"
"Q64362997","ku-latn","Kurdish in Latin script"
"Q36209","kum","Kumyk"
"Q33434","kut","Kutenai"
"Q36126","kv","Komi"
"Q3195442","kvr","Kerinci"
"Q25289","kw","Cornish"
"Q9255","ky","Kyrgyz"
"Q95397566","ky-arab","Kyrgyz in Arabic script"
"Q94989582","ky-cyrl","Kyrgyz in Cyrillic script"
"Q397","la","Latin"
"Q36196","lad","Judaeo-Spanish"
"Q584983","lag","Rangi"
"Q9051","lb","Luxembourgish"
"Q36206","lbe","Lak"
"Q31746","lez","Lezgian"
"Q146803","lfn","Lingua Franca Nova"
"Q33368","lg","Luganda"
"Q102172","li","Limburgish"
"Q36106","lij","Ligurian"
"Q56422","lij-mc","Monégasque"
"Q33698","liv","Livonian"
"Q56483","lki","Laki"
"Q33537","lkt","Lakota"
"Q36202","lld","Ladin"
"Q33754","lmo","Lombard"
"Q36217","ln","Lingala"
"Q9211","lo","Lao"
"Q33628","loz","Lozi"
"Q19933293","lrc","Northern Luri"
"Q9083","lt","Lithuanian"
"Q36212","ltg","Latgalian"
"Q36147","lus","Mizo"
"Q12952748","luz","Southern Luri"
"Q9078","lv","Latvian"
"Q770547","lvk","Lavukaleve"
"Q37041","lzh","Classical Chinese"
"Q1160372","lzz","Laz"
"Q36213","mad","Madurese"
"Q36109","mai","Maithili"
"Q33219","map-bms","Banyumasan Ngapak"
"Q13343","mdf","Moksha"
"Q33661","mfe","Mauritian Creole"
"Q7930","mg","Malagasy"
"Q36280","mh","Marshallese"
"Q3906614","mhr","Meadow Mari"
"Q36451","mi","Māori"
"Q13321","mic","Mi'kmaq"
"Q13324","min","Minangkabau"
"Q22283016","mis","language without a specific language code"
"Q2417210","mis-x-Q2417210","Old Swedish"
"Q8047534","mis-x-Q8047534","Yalálag Zapotec"
"Q9296","mk","Macedonian"
"Q36236","ml","Malayalam"
"Q9246","mn","Mongolian"
"Q33638","mnc","Manchu"
"Q33868","mni","Meitei"
"Q13349","mnw","Mon"
"Q100271134","mnw-pi","Mon-Pali language"
"Q36392","mo","Moldovan"
"Q13351","moe","Innu-aimun"
"Q1571","mr","Marathi"
"Q4175893","mrh","Mara"
"Q1776032","mrj","Hill Mari"
"Q9237","ms","Malay"
"Q107526440","ms-arab","Malay in Jawi script"
"Q15065","ms-my","Malaysian Malay"
"Q9166","mt","Maltese"
"Q615660","mui","Musi"
"Q20923490","mul","multiple languages"
"Q523014","mus","Muscogee"
"Q13330","mwl","Mirandese"
"Q13365","mwv","Mentawai"
"Q9228","my","Burmese"
"Q29952","myv","Erzya"
"Q13356","mzn","Mazanderani"
"Q13307","na","Nauruan"
"Q13300","nah","Nahuatl"
"Q36495","nan","Southern Min"
"Q15901848","nan-hani","Hàn-jī"
"Q33845","nap","Neapolitan"
"Q25167","nb","Bokmål"
"Q25433","nds","Low German"
"Q516137","nds-nl","Dutch Low Saxon"
"Q33823","ne","Nepali"
"Q33979","new","Newar"
"Q33900","ng","Ndonga"
"Q36489","ng","Ovambo"
"Q2407831","nia","Nias"
"Q33790","niu","Niuean"
"Q7411","nl","Dutch"
"Q1404296","nl-be","Belgian Dutch"
"Q25164","nn","Nynorsk"
"Q1420587","nn-hognorsk","Høgnorsk"
"Q9043","no","Norwegian"
"Q565110","nod","Northern Thai"
"Q33871","nog","Nogai"
"Q35505","non","Old Norse"
"Q36738","nov","Novial"
"Q18546266","nqo","N'Ko"
"Q36785","nr","Southern Ndebele"
"Q56428","nrf-gg","Guernésiais"
"Q56430","nrf-je","Jèrriais"
"Q33850","nrm","Norman"
"Q1704302","nsk","Naskapi"
"Q33890","nso","Northern Sotho"
"Q36459","nui","Kombe"
"Q13310","nv","Navajo"
"Q35761","nxm","Numidian"
"Q33273","ny","Chewa"
"Q7049771","nys","Noongar"
"Q14185","oc","Occitan"
"Q33875","oj","Ojibwe"
"Q36584","olo","Livvi-Karelian"
"Q33864","om","Oromo"
"Q2393095","ood","O'odham"
"Q33810","or","Odia"
"Q33968","os","Ossetian"
"Q2600085","osa","Osage"
"Q107530022","osa-latn","Osage in Latin script"
"Q36730","ota","Ottoman Turkish"
"Q34988","otk","Old Turkic"
"Q254950","ovd","Elfdalian"
"Q689894","pa","Gurmukhi"
"Q33879","pag","Pangasinan"
"Q36121","pam","Kapampangan"
"Q33856","pap","Papiamento"
"Q34024","pcd","Picard"
"Q22711","pdc","Pennsylvania German"
"Q1751432","pdt","Plautdietsch"
"Q35225","peo","Old Persian"
"Q23014","pfl","Palatinate German"
"Q36727","pi","Pali"
"Q36554","pih","Pitkern"
"Q36699","pis","Pijin"
"Q2982063","pjt","Pitjantjatjara"
"Q36323","pko","Pökoot"
"Q22964057","pks","Pakistan Sign Language"
"Q809","pl","Polish"
"Q15085","pms","Piedmontese"
"Q12473446","pmy","Papuan Malay"
"Q133800","pnb","Shahmukhi"
"Q36748","pnt","Pontic Greek"
"Q2094884","ppu","Papora-Hoanya"
"Q35501","prg","Old Prussian"
"Q58680","ps","Pashto"
"Q5146","pt","Portuguese"
"Q1113432","pt-ao1990","Portuguese Language Orthographic Agreement of 1990"
"Q750553","pt-br","Brazilian Portuguese"
"Q715755","pwn","Paiwan"
"Q716690","pyu","Puyuma"
"Q5218","qu","Quechua"
"Q36494","quc","K’iche’"
"Q1740805","qug","Quichua"
"Q56383","qya","Quenya"
"Q36745","rar","Cook Islands Maori"
"Q13198","rcf","Réunion Creole"
"Q1641543","rgn","Romagnol"
"Q34174","rif","Tarifit"
"Q3450749","rki","Rakhine"
"Q3241618","rkt","Rangpuri"
"Q13199","rm","Romansh"
"Q688309","rm-puter","Putèr"
"Q688873","rm-rumgr","Rumantsch Grischun"
"Q690216","rm-surmiran","Surmiran"
"Q688348","rm-sursilv","Sursilvan"
"Q688272","rm-sutsilv","Sutsilvan"
"Q690226","rm-vallader","Vallader"
"Q5045611","rmc","Carpathian Romani"
"Q2093214","rmf","Finnish Kalo"
"Q13201","rmy","Romani"
"Q33583","rn","Kirundi"
"Q7913","ro","Romanian"
"Q695526","roa-tara","Tarantino"
"Q7737","ru","Russian"
"Q1194341","ru-sib","Siberian"
"Q26245","rue","Rusyn"
"Q29316","rup","Aromanian"
"Q13358","ruq","Megleno-Romanian"
"Q64362998","ruq-cyrl","Megleno-Romanian in Cyrillic script"
"Q64362999","ruq-latn","Megleno-Romanian in Latin script"
"Q33573","rw","Kinyarwanda"
"Q65455884","rwr","Marwari"
"Q34233","ryu","Okinawan"
"Q11059","sa","Sanskrit"
"Q34299","sah","Yakut"
"Q33965","sat","Santali"
"Q107550055","sat-beng","Santali in Bengali script"
"Q33976","sc","Sardinian"
"Q33973","scn","Sicilian"
"Q14549","sco","Scots"
"Q33997","sd","Sindhi"
"Q845441","sdc","Sassarese"
"Q1496597","sdh","Southern Kurdish"
"Q33947","se","Northern Sami"
"Q36583","sei","Seri"
"Q35655","ses","Koyraboro Senni"
"Q33954","sg","Sango"
"Q9301","sh","Serbo-Croatian"
"Q34152","shi","Tachelhit"
"Q64363000","shi-latn","Tachelhit in Latin script"
"Q64363001","shi-tfng","Tachelhit in Tifinagh script"
"Q56482","shn","Shan"
"Q33274","shy","Shawiya"
"Q64363002","shy-latn","Shawiya in Latin script"
"Q13267","si","Sinhala"
"Q33786","sid","Sidamo"
"Q21480034","simple","Simple English"
"Q33656","sjd","Kildin Sami"
"Q56314","sje","Pite Sami"
"Q3287253","sjm","Mapun"
"Q56437","sjn","Sindarin"
"Q36656","sjt","Ter Sami"
"Q56415","sju","Ume Sami"
"Q9058","sk","Slovak"
"Q33902","skr","Saraiki"
"Q113406611","skr","Saraiki Shahmukhi"
"Q9063","sl","Slovene"
"Q152965","sli","Silesian German"
"Q34011","sm","Samoan"
"Q13293","sma","Southern Sami"
"Q56322","smj","Lule Sami"
"Q33462","smn","Inari Sami"
"Q13271","sms","Skolt Sami"
"Q34004","sn","Shona"
"Q13275","so","Somali"
"Q56508","sou","Southern Thai"
"Q8748","sq","Albanian"
"Q9299","sr","Serbian"
"Q21161942","sr-ec","Serbian in Cyrilic script"
"Q21161949","sr-el","Serbian in Latin script"
"Q33989","srn","Sranan Tongo"
"Q3027953","srq","Sirionó"
"Q34014","ss","Swazi"
"Q676492","ssf","Thao"
"Q34340","st","Sesotho"
"Q36705","sth","Shelta"
"Q27154","stq","Saterland Frisian"
"Q4418344","sty","Siberian Tatar"
"Q34002","su","Sundanese"
"Q107549870","sux-latn","Sumerian in Latin script"
"Q9027","sv","Swedish"
"Q7838","sw","Swahili"
"Q716599","sxr","Saaroa"
"Q33538","syc","Syriac"
"Q2044560","syl","Sylheti"
"Q107549714","syl-beng","Sylheti in Bengali-Assamese script"
"Q30319","szl","Silesian"
"Q718269","szy","Sakizaya"
"Q5885","ta","Tamil"
"Q715766","tay","Atayal"
"Q31091048","tce","Southern Tutchone"
"Q34251","tcy","Tulu"
"Q8097","te","Telugu"
"Q34125","tet","Tetum"
"Q9260","tg","Tajik"
"Q64363004","tg-cyrl","Tajik in Cyrillic script"
"Q64363005","tg-latn","Tajik in Latin script"
"Q9217","th","Thai"
"Q34124","ti","Tigrinya"
"Q9267","tk","Turkmen"
"Q34057","tl","Tagalog"
"Q10134","tlh","Klingon"
"Q107550949","tlh-latn","Klingon in Okrand notation"
"Q107550940","tlh-piqd","Klingon in pIqaD"
"Q27792","tli","Tlingit"
"Q34318","tly","Talysh"
"Q107526557","tly-cyrl","Talysh in Cyrillic script"
"Q34137","tn","Tswana"
"Q34094","to","Tongan"
"Q36846","tok","Toki Pona"
"Q34159","tpi","Tok Pisin"
"Q256","tr","Turkish"
"Q34040","tru","Turoyo"
"Q716686","trv","Seediq"
"Q34327","ts","Tsonga"
"Q34142","tsg","Tausug"
"Q11159532","tsk","Tseku"
"Q716681","tsu","Tsou"
"Q25285","tt","Tatar"
"Q39132549","tt-cyrl","Tatar in Cyrillic script"
"Q39134544","tt-latn","Tatar in Latin script"
"Q20822","ttm","Northern Tutchone"
"Q34138","tum","Tumbuka"
"Q56944","tup","Tupi"
"Q34055","tvl","Tuvaluan"
"Q7689158","tvn","Tavoyan"
"Q1975271","tvx","Taivoan"
"Q36850","tw","Twi"
"Q34128","ty","Tahitian"
"Q34119","tyv","Tuvan"
"Q1063911","tzl","Talossan"
"Q49741","tzm","Central Atlas Tamazight"
"Q13238","udm","Udmurt"
"Q13263","ug","Uyghur"
"Q22338135","ug-arab","Uyghur in Arabic script"
"Q22338145","ug-latn","Uyghur in Latin script"
"Q8798","uk","Ukrainian"
"Q56547","umu","Munsee"
"Q22282914","und","undetermined language"
"Q1617","ur","Urdu"
"Q86679962","urj-koo","Old Komi"
"Q36435","uun","Pazeh"
"Q9264","uz","Uzbek"
"Q64363006","uz-cyrl","Uzbek in Cyrillic script"
"Q64363007","uz-latn","Uzbek in Latin script"
"Q1066787","uzs","Southern Uzbek"
"Q32704","ve","Venda"
"Q32724","vec","Venetian"
"Q32747","vep","Veps"
"Q9199","vi","Vietnamese"
"Q100103","vls","West Flemish"
"Q497345","vmf","Main-Franconian"
"Q36986","vo","Volapük"
"Q32858","vot","Votic"
"Q32762","vro","Võro"
"Q34219","wa","Walloon"
"Q36943","wal","Wolaytta"
"Q3217378","war","Central Visayan"
"Q34279","war","Waray"
"Q34208","wbl","Wakhi"
"Q25442","wen","Sorbian"
"Q36979","wls","Wallisian"
"Q34257","wo","Wolof"
"Q34290","wuu","Wu Chinese"
"Q3567223","wya","Wendat"
"Q56485","wym","Vilamovian"
"Q33634","xal","Kalmyk"
"Q13218","xh","Xhosa"
"Q122973870","xme-ttc-pro","Proto-Tatic"
"Q13359","xmf","Mingrelian"
"Q172244","xnb","Kanakanavu"
"Q535958","xpu","Punic"
"Q36734","xpu","Phoenician"
"Q716695","xsy","Saisiyat"
"Q34247","yai","Yaghnobi"
"Q34029","yap","Yapese"
"Q12953315","yav","Yangben"
"Q34179","ydg","Yidgha"
"Q1365342","yec","Yenish"
"Q8641","yi","Yiddish"
"Q34311","yo","Yoruba"
"Q34243","yoi","Yonaguni"
"Q36452","yrk","Nenets"
"Q34333","yrl","Nheengatu"
"Q9186","yue","Cantonese"
"Q13216","za","Zhuang"
"Q237409","zea","Zeelandic"
"Q7598268","zgh","Standard Moroccan Berber"
"Q7850","zh","Chinese"
"Q24841726","zh-cn","Putonghua"
"Q13414913","zh-hans","Simplified Chinese"
"Q18130932","zh-hant","Traditional Chinese"
"Q100148307","zh-hk","Chinese (Hong Kong)"
"Q36495","zh-min-nan","Southern Min"
"Q64427357","zh-mo","Chinese in Macau"
"Q13646143","zh-my","Malaysian Mandarin"
"Q1048980","zh-sg","Singaporean Mandarin"
"Q262828","zh-tw","Standard Taiwanese Mandarin"
"Q4380827","zh-tw","Taiwanese Mandarin"
"Q9186","zh-yue","Cantonese"
"Q7033959","zh-yue","Yue Chinese"
"Q10179","zu","Zulu"
"Q10188","zun","Zuni"
"Q22282939","zxx","no linguistic content"
