"title","wikibase_item","CompanyID"
"The Animation Workshop","Q7713841","co0238617"
"Corymore Productions","Q5173743","co0054949"
"Stephen Bosustow","Q1670986","co0001963"
"Sagar Movietone","Q23020137","co0011791"
"Company Matsuo","Q5155527","co0107559"
"Cinelatino","Q3206411","co0124398"
"École Supérieure de Réalisation Audiovisuelle","Q3578463","co0185018"
"École Supérieure de Réalisation Audiovisuelle","Q3578463","co0151629"
"Bell Fund","Q20313238","co0232147"
"Adem Mikullovci","Q4682123","co0035224"
"Royal Air Force Film Production Unit","Q7373604","co0081927"
"Centron Corporation","Q5062987","co0060886"
"The Brazen Bull","Q7719897","co0131038"
"The Brazen Bull","Q7719897","co0264755"
"Home Plate Entertainment","Q16995742","co0376307"
"Fangoria Films","Q5433853","co0060480"
"Fangoria Films","Q5433853","co0060480"
"My Family (series 7)","Q6945364","co0104185"
"SP Entertainments","Q7392704","co0229853"
"Maria Amapola Cabase","Q8197051","co0108980"
"Black Audio Film Collective","Q18358517","co0104163"
"My Family (series 11)","Q6945357","co0104185"
"Fred Mossler","Q18151192","co0462791"
"Hong Kong Legends","Q16844558","co0140105"
"Woolner Brothers","Q8033895","co0064720"
"Xenon Pictures","Q8043630","co0109042"
"European Film College","Q5412596","co0165150"
"United Photoplay Service","Q1536079","co0127501"
"Matthew Stillman","Q15149098","co0732571"
"Matthew Stillman","Q15149098","co0017390"
"AgostoDos Pictures","Q16826132","co0365659"
"Woodfall Film Productions","Q2371191","co0103083"
"Everybody Dies but Me","Q2028280","co0014691"
"Omnifilm Entertainment","Q7090325","co0053892"
"The King's Consort","Q1168119","co0152630"
"Filmlook, Inc.","Q5449146","co0323590"
"Alvernia Studios","Q9149255","co0298884"
"Galaxy Studios","Q17054035","co0317611"
"Galaxy Studios","Q17054035","co0260498"
"J. Todd Harris","Q18377810","co0260861"
"J. Todd Harris","Q18377810","co0060840"
"Sono Art-World Wide Pictures","Q3964860","co0046390"
"Allied Film Makers","Q4732568","co0137927"
"Austin Stark","Q20630526","co0222800"
"Antidote Films","Q4774688","co0011355"
"My Family (series 6)","Q6945363","co0104185"
"Porklips Now","Q7230151","co0212878"
"Monterey Media","Q6905320","co0144863"
"General Film Company","Q5531908","co0003282"
"Reyna Films","Q7319528","co0226749"
"Joseph Burstyn","Q6281823","co0057893"
"Joseph Burstyn","Q6281823","co0035719"
"Vanacore Music","Q5240608","co0203445"
"Soundelux","Q7564847","co0082400"
"NALA Films","Q6952279","co0154622"
"Two Cities Films","Q3542595","co0103139"
"Golden Princess Film Production","Q5579725","co0026223"
"DoRo Productions","Q877706","co0211260"
"My Family (series 8)","Q6945366","co0104185"
"Copenhagen Bombay","Q12306672","co0230992"
"Blackfriars Street Bridge","Q4922915","co0146942"
"My Family (series 10)","Q6945354","co0104185"
"David Freedman (screenwriter)","Q5237243","co0104592"
"KAD Movies","Q6344919","co0111117"
"Cinesound Productions","Q5120892","co0042227"
"Paul Brownstein","Q7149554","co0022067"
"Enrique Telémaco Susini","Q5379839","co0050468"
"Youmex","Q8057787","co0031305"
"Avala Film","Q2873244","co0076116"
"Jennifer Goodridge","Q6178357","co0848920"
"Fotosearch","Q5474018","co0245288"
"L-KO Kompany","Q3205873","co0056712"
"The Wharton Studio","Q7774371","co0119302"
"Dutch FilmWorks","Q2081249","co0024325"
"Future Thought Productions","Q5510789","co0159012"
"Easy Aces","Q5331093","co0050385"
"Irv Teibel","Q21598215","co0247527"
"Porn Star Zombies","Q16948774","co0271163"
"Northwest Sinfonia","Q7060201","co0079470"
"McNaught Syndicate","Q6802491","co0012604"
"My Family (series 9)","Q6945367","co0104185"
"Lisbon Theatre and Film School","Q1367284","co0022668"
"Cinema Research Corporation","Q30687755","co0058110"
"Nicola Napoli","Q16078864","co0080235"
"Essgee Entertainment","Q5399867","co0099463"
"Diantong","Q5271725","co0122221"
"Christopher Morris (news presenter)","Q16104934","co0213924"
"Territory Studio","Q20539348","co0454255"
"Komuna (company)","Q6428659","co0233514"
"Sydney Philharmonia Choirs","Q7660091","co0231162"
"Stuck (2001 film)","Q7627421","co0026662"
"Image Metrics","Q6002160","co0169966"
"Mushroom Pictures","Q10590609","co0079897"
"British Instructional Films","Q4970126","co0103053"
"Burly Bear Network","Q4999319","co0180911"
"David Paradine Productions","Q5238369","co0103432"
"David Paradine Productions","Q5238369","co0103245"
"David Paradine Productions","Q5238369","co0076018"
"David Paradine Productions","Q5238369","co0103396"
"Cineguild Productions","Q5120665","co0113550"
"El diputado","Q3311412","co0057596"
"Love of My Life (2013 film)","Q17052588","co0220024"
"Manmord Sidhu","Q29452993","co0332660"
"Medstar Television","Q6807300","co0006447"
"Bedlam Productions","Q4879286","co0095111"
"NBCUniversal Archives","Q6952744","co0031053"
"NBCUniversal Archives","Q6952744","co0272957"
"Heron Communications","Q16251300","co0052823"
"Bandidos Films","Q6393277","co0023336"
"SF Film Finland","Q11891723","co0093099"
"SF Film Finland","Q11891723","co0363592"
"SF Film Finland","Q11891723","co0421459"
"Frank Van der Veer","Q17291898","co0041344"
"Home of Angels","Q4329251","co0011688"
"Boarding House Blues","Q4931413","co0045718"
"List of Mozambican films","Q1536295","co0443180"
"List of Mozambican films","Q1536295","co0443180"
"Aleph Producciones","Q4716170","co0033800"
"Motion Picture Distributing and Sales Company","Q6917752","co0082535"
"Embrafilme","Q16056309","co0064075"
"Pumpkin 3D","Q7259836","co0184042"
"S.J. Main Muñoz","Q19592381","co0137023"
"The Satan Killer","Q7762286","co0062614"
"Rialto Film","Q2148492","co0043072"
"D&E Entertainment","Q5203013","co0279492"
"Mark Noyce","Q6769057","co0488157"
"Phranakorn Film","Q6581447","co0160166"
"Gary Turner (musician)","Q17056844","co0440169"
"Gary Turner (musician)","Q17056844","co0440169"
"Creditors (2015 film)","Q21450450","co0438065"
"G. B. Samuelson Productions","Q5511988","co0151471"
"Katie J. Stone","Q16231355","co0822176"
"Maharashtra Film Company","Q141712","co0008753"
"Forum Music Village","Q3748876","co0135213"
"Ashmont Productions","Q20312364","co0073569"
"Screenwest","Q7438980","co0068628"
"Jack Murray (film editor)","Q15430776","co0128400"
"Les Films du Poisson","Q2421484","co0076118"
"Woolf & Freedman Film Service","Q17148749","co0103069"
"Intelligent Creatures","Q6043991","co0108509"
"Yoshizawa Shōten","Q6134725","co0122247"
"Maya Entertainment","Q6796686","co0136764"
"EyeSteelFilm","Q5422590","co0182221"
"Francesco Rulli","Q5448907","co0322677"
"Townsend Entertainment","Q55636081","co0413086"
"Life on Fire","Q6545273","co0171407"
"Lumiton","Q5984808","co0021467"
"E. W. Hammons","Q5322209","co0050385"
"Perennial Pictures Film Corporation","Q7167854","co0108927"
"Eat Me! (2009 film)","Q5331231","co0100424"
"Kindai Eiga Kyōkai","Q6410530","co0014599"
"Metro Voices","Q6824769","co0036809"
"Arthur Mayer","Q16009504","co0057893"
"Arkoff International Pictures","Q19903161","co0006136"
"Alejandro Alcondez","Q4714466","co0191680"
"Commonwealth Pictures","Q5153826","co0042209"
"Hemisphere Pictures","Q5712086","co0346292"
"Société des Cinéromans","Q16677238","co0019993"
"David U. Lee","Q5240557","co0322312"
"Greenstone TV","Q5604585","co0040314"
"Poppa Neutrino","Q7229508","co0185861"
"Philips Top 10","Q7185530","co0138580"
"ZIV International","Q8063117","co0037910"
"Enlightenment Productions","Q16991797","co0211493"
"BFI Production Board","Q22000245","co0041172"
"Captivate Entertainment","Q19877680","co0263292"
"Headline Pictures","Q21592494","co0195590"
"The Shuman Company","Q21188886","co0086328"
"St. Clair Entertainment Group","Q7587571","co0184606"
"Pacific Films","Q17056375","co0055326"
"Alfred John West","Q4722974","co0378584"
"Spark Media","Q7573630","co0021533"
"Filmco","Q5449048","co0064716"
"Marc Rhys","Q17417503","co0262866"
"MediaPro Pictures","Q14637216","co0139685"
"Jaguar Productions (company)","Q6122898","co0066854"
"BD Cine","Q4835390","co0019647"
"Yokota Shōkai","Q6135635","co0187091"
"Premier Asia","Q7240273","co0106236"
"Joseph Vogel (executive)","Q6287627","co0016037"
"Cliff Reid","Q20828223","co0436879"
"Robert Caruso","Q7342807","co0014905"
"Bufo (company)","Q4986006","co0281356"
"Robert D. Clark","Q7343295","co0074280"
"Laurel Films","Q6499790","co0164848"
"Creative Impulse Entertainment","Q16833998","co0094930"
"Roberto Treviño","Q7351926","co0403861"
"Trackdown Digital","Q18166926","co0243972"
"Trackdown Digital","Q18166926","co0241639"
"Trackdown Digital","Q18166926","co0158969"
"Trackdown Digital","Q18166926","co0082438"
"Central Station Design","Q5061863","co0459846"
"Central Station Design","Q5061863","co0138904"
"Central Station Design","Q5061863","co0138904"
"Sarrazin Couture Entertainment","Q7424563","co0054568"
"Constance Crawley","Q5163519","co0391081"
"Estudio Haini","Q15941435","co0473611"
"Burrowes Film Group","Q5000499","co0072497"
"The Book of Jer3miah","Q7719241","co0297057"
"New Century Production","Q15633350","co0490354"
"The Earth Belongs to No One","Q25212135","co0209419"
"Film Resource Unit","Q2864357","co0204244"
"Photoplay Productions","Q17142345","co0104594"
"Interface Media Group","Q6046270","co0114686"
"E Corp Studio","Q5324788","co0195292"
"British and Colonial Films","Q3402325","co0103011"
"Pozzitive Television","Q7237070","co0034241"
"Harbour Productions Unlimited","Q5654855","co0160051"
"Camelot Entertainment Group","Q5025938","co0006731"
"Australasian Films","Q4823427","co0091360"
"Robert Bella","Q7342009","co0284618"
"CON-CAN Movie Festival","Q911345","co0095216"
"Irwin Entertainment","Q6075035","co0193199"
"Ambush Entertainment","Q4742003","co0091524"
"Wild Eyes Productions","Q25112181","co0101064"
"Chronicles of America","Q5114050","co0074022"
"Guacamole Films","Q5613168","co0082189"
"Dirty Money (2011 TV series)","Q30612375","co0365591"
"MovieScore Media","Q6926829","co0188992"
"Toy Gun Films","Q7830508","co0268346"
"Kurt Sayenga","Q6447017","co0049855"
"Gerry Blattner","Q7678916","co0219536"
"Street of Darkness","Q20904784","co0134131"
"Offshoot Films","Q7079662","co0020443"
"Reconvergence","Q7302803","co0183407"
"Neomis Animation","Q3347122","co0210946"
"George Linder","Q56811951","co0125716"
"2020 Casting","Q4630386","co0002463"
"MRB Productions","Q6717433","co0122884"
"Thea Flaum","Q7777203","co0196111"
"Julie Rubio","Q27044356","co0463036"
"Jeanette B. Milio","Q1685991","co0063447"
"Jeanette B. Milio","Q1685991","co0059068"
"Tirelli Costumi","Q7809197","co0012392"
"Takarazuka Eiga","Q3980259","co0088817"
"Mario Siciliano","Q528861","co0028387"
"Mario Siciliano","Q528861","co0028387"
"Heritage Film Project","Q22079545","co0306061"
"Mark Mori","Q16210945","co0014804"
"Da Huang Pictures","Q5207248","co0146576"
"Fitness Beach","Q5455460","co0017964"
"Look Effects","Q17140193","co0024957"
"Savannah MOON","Q28402637","co0570873"
"Focus Films","Q5463918","co0137973"
"Digital Media Factory","Q5275922","co0159477"
"ArgoFilms","Q4789612","co0249843"
"Artanis Entertainment Group","Q21464855","co0074700"
"Taylor Media","Q7690062","co0088457"
"Cesáreo González","Q3328982","co0024543"
"Ghostfire Games","Q5557341","co0283700"
"Ghostfire Games","Q5557341","co0283700"
"Music for Miners","Q6941783","co0103621"
"Queensland Film Corporation","Q7270938","co0004395"
"Kensington Communications","Q6391437","co0101456"
"Victory Pictures Corporation","Q18470782","co0136910"
"Documentary Educational Resources","Q3033630","co0017395"
"James Nelson (sound editor)","Q17370723","co0022947"
"Radio Bums","Q24963010","co0127655"
"Metro Weather Service","Q17090176","co0131874"
"ÍNN","Q8078568","co0280241"
"Heroes and Villains Entertainment","Q5743185","co0286310"
"L.C.P. di Pompei","Q6456256","co0019930"
"Jason LaRay Keener","Q6162908","co0192126"
"David Fishelson","Q15032311","co0054236"
"Pictak Cie","Q18388485","co0246742"
"Beirut International Center Production","Q25454138","co0594232"
"Solaris Pictures","Q7557049","co0114534"
"Australian Film Development Corporation","Q4824147","co0062402"
"Art-O-Graf","Q16971052","co0137298"
"BWE Media Networks","Q22073385","co0469556"
"Camille Thoman","Q5026681","co0271126"
"World Wide Motion Pictures Corporation","Q8036486","co0155628"
"FilmRoos","Q5448897","co0013950"
"Lost Colony Entertainment","Q6683941","co0108255"
"Momento Film","Q22080895","co0361818"
"Spiderwood Studios","Q7577090","co0194100"
"Whyte House Entertainment","Q7997945","co0347995"
"Whyte House Entertainment","Q7997945","co0038911"
"Special Entertainment","Q7574543","co0226451"
"Sastreria Cornejo","Q7425816","co0045265"
"Fairway Film Alliance","Q24885426","co0302203"
"Les Guthman","Q6529556","co0041186"
"Phaedra Cinema","Q7180001","co0007549"
"Oakhurst Productions","Q7073917","co0043192"
"Little Laureate","Q6650645","co0146365"
"Nathanael Wiseman","Q20687611","co0126611"
"Rising Falcon Cinema","Q22079483","co0164928"
"Jack J. Gross","Q16003693","co0057837"
"BBI Films","Q19570984","co0344768"
"Nick Davis Productions","Q7027000","co0095725"
"Paper Flower (film)","Q7132621","co0268346"
"Phofo","Q7187052","co0311863"
"Bolívar Films","Q4940313","co0067894"
"Sacred Cow Productions","Q7397072","co0050242"
"Killer Goose Films","Q6407487","co0282397"
"Golden Apples of the Sun (film)","Q5579137","co0068649"
"Bob Pomann","Q4933675","co0124304"
"Glavkino","Q4139122","co0360224"
"Masato Ishioka","Q2690352","co0002048"
"A-Company Filmed Entertainment","Q28857407","co0446153"
"A-Company Filmed Entertainment","Q28857407","co0488275"
"A-Company Filmed Entertainment","Q28857407","co0384481"
"Trash Video","Q7835731","co0158645"
"Suzanne Legrand","Q7650904","co0073298"
"Roberto Muñoz (producer)","Q7351821","co0423378"
"List of Armenian films of the 1950s","Q20744032","co0114189"
"Veriscope","Q16867167","co0052786"
"Social Capital Films","Q7550456","co0159028"
"Casual-T","Q5050843","co0292731"
"Casual-T","Q5050843","co0259786"
"Casual-T","Q5050843","co0268307"
"Macquarie Film Corporation","Q6724969","co0065438"
"Poya Pictures","Q7236969","co0078241"
"Poya Pictures","Q7236969","co0332289"
"Costumi d'Arte","Q5175226","co0124104"
"Costumi d'Arte","Q5175226","co0080355"
"Costumi d'Arte","Q5175226","co0055382"
"KDK Factory","Q6327897","co0253505"
"KDK Factory","Q6327897","co0253505"
"London Press Exchange","Q6670665","co0338714"
"Egyptian Arts Group","Q10310717","co0377894"
"Heretic Films","Q16995254","co0122791"
"Producers Library Service","Q19903574","co0009220"
"Hot Video Countdown","Q20642699","co0486207"
"Studio Mao","Q85847407","co0217114"
"Sean Patrick Cannon","Q7441353","co0034057"
"Mercy Murugi","Q6818789","co0146610"
"Neue Deutsche Filmgesellschaft","Q1979907","co0032104"
"Job, Joris & Marieke","Q21100099","co0520318"
"Allude Entertainment","Q24190796","co0456481"
"Anywhere Road","Q4778398","co0199072"
"Mountain River Films","Q25245463","co0516720"
"Life Is My Movie Entertainment","Q6544876","co0123751"
"Empire Design","Q5374067","co0033514"
"Æternam Films","Q16824324","co0093476"
"Gem Motion Picture Company","Q3100309","co0065525"
"Walturdaw Company Limited","Q25350288","co0120090"
"Clarendon Entertainment","Q5126862","co0009658"
"Martha Production","Q6774516","co0332774"
"Kaos Films","Q16852264","co0186356"
"Tigerlily Films","Q7801550","co0104400"
"Primeira Idade","Q18672490","co0500991"
"Benetone Hillin Entertainment","Q16840264","co0388051"
"Africa Films","Q85739993","co0764307"
"Mayflower Productions","Q48798886","co0124626"
"Mayflower Productions","Q48798886","co0520762"
"Sports Action Team","Q7579678","co0030960"
"Tony Converse","Q7822101","co0071486"
"Kingsley-International Pictures","Q6413275","co0029957"
"A/S Palladium","Q16324267","co0083828"
"Southwest Alternate Media Project","Q7571213","co0124904"
"Hexagon Productions","Q17006540","co0071605"
"Quick Off The Mark Productions","Q18736970","co0333343"
"Reichsanstalt für Film und Bild in Wissenschaft und Unterricht","Q2139689","co0250931"
"Russian World Studios","Q4127371","co0179745"
"Nikolay Suslov","Q7036343","co0204442"
"Retrofit Films","Q16254954","co0304175"
"West's Pictures","Q7984168","co0089427"
"Collective Eye Films","Q19865510","co0201404"
"NLT Productions","Q16970313","co0032901"
"Cicala Filmworks","Q5119335","co0090502"
"Curium Films","Q24191874","co0423378"
"Even in My Dreams","Q5416569","co0288761"
"PB&J Television","Q7118322","co0172841"
"J. C. Williamson Film Company","Q6104009","co0084054"
"Southern Cross Feature Film Company","Q7569831","co0129030"
"Romar Entertainment","Q7362901","co0139475"
"Roddy Pérez","Q20016513","co0493578"
"Mayflower Photoplay Company","Q3853193","co0094430"
"Nucleus Films","Q28404046","co0106540"
"UAA Films","Q7863699","co0112843"
"Jaron Marquis","Q17386332","co0490137"
"Charles Delacommune","Q28860754","co0026234"
"Southern International Productions","Q7570041","co0033304"
"Lang Film","Q18345055","co0118003"
"Kent Smith (producer)","Q19668307","co0159156"
"Effi Wizen","Q16187372","co0039806"
"Giv Gud en chance om søndagen","Q5565578","co0005405"
"Gastón Siriczman","Q23939775","co0511159"
"Nicolao Atelier","Q7029454","co0049714"
"Broken Wall Films","Q4973498","co0253484"
"KM Plus Media","Q25111273","co0393473"
"Fine & Mellow Productions","Q5450035","co0090400"
"Oscuro Deseo Producciones","Q7106441","co0323943"
"London Screen (company)","Q25183069","co0147777"
"Garlin Pictures","Q24905143","co0136730"
"Picture This Productions","Q24190696","co0001497"
"Suited Caribou Media","Q24885325","co0542841"
"D.W. Kann","Q5203461","co0016853"
"Ink Pixel Films","Q6034505","co0285502"
"Australian Life Biograph Company","Q4824388","co0047127"
"European Video Corporation","Q16250061","co0095812"
"Scrappers Film Group","Q23134478","co0249350"
"Telefiction","Q3546608","co0139718"
"Satel Film","Q1688330","co0041387"
"Film Archives, Inc.","Q5448910","co0138778"
"Metal Flowers Media","Q19647966","co0165074"
"Synchro-Ciné","Q28971284","co0026234"
"Pilgrim Pictures","Q7193947","co0011301"
"Ramil Khayrulin","Q15062974","co0446530"
"Star Com Productions","Q7600676","co0203583"
"Boulevard Films","Q4949642","co0071996"
"Pune tc","Q7260122","co0050176"
"Templeheart Films","Q28406102","co0307474"
"CubeCity Entertainment","Q5192197","co0243571"
"DViant Films","Q16249376","co0190739"
"DViant Films","Q16249376","co0290699"
"Switzer Entertainment Group","Q16977867","co0452862"
"Manoj Nandwana","Q19894458","co0368039"
"Mano Film","Q19295678","co0100408"
"Confidence Bay","Q5160076","co0216094"
"Deborah Hutchison","Q5248274","co0092187"
"RadioactiveGiant","Q7281217","co0332547"
"Dead Grandma","Q5245206","co0327195"
"Vesuvio Entertainment Corporation","Q22079544","co0250364"
"Ironhead Studio","Q121087629","co0364076"
"Once films","Q55627554","co0542051"
"Marfilmes","Q3290445","co0134716"
"Sunico Films","Q16934665","co0130958"
"Hot Sun Films","Q5910520","co0146610"
"Fifth Column Films","Q19873208","co0199943"
"Dominican Film Market","Q20715886","co0493578"
"Mansion Pictures","Q6751758","co0204352"
"Image Media Vision","Q18125884","co0492688"
"Tradewind Pictures","Q7832202","co0019738"
"Fingercuff Productions","Q5450256","co0292936"
"Cinema Asia Releasing","Q5120690","co0363197"
"Goldsworthy Productions","Q5580364","co0018398"
"Sunchaser Pictures","Q7639024","co0112012"
"Walker George Films","Q7962257","co0203311"
"Primum Entertainment Group","Q7243702","co0277276"
"Mini Movie Channel","Q6865062","co0246984"
